RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,63343,Aldrich Potgieter,325.0,35754,110
2,0,28237,Rory McIlroy,323.0,37472,116
3,0,52453,Nicolai Højgaard,318.8,33156,104
4,0,57586,Jesper Svensson,318.6,56705,178
5,0,48117,Kurt Kitayama,318.0,47061,148
6,0,57364,Michael Thorbjornsen,317.8,52763,166
7,0,59095,Chris Gotterup,316.7,57644,182
8,0,34255,Joseph Bramlett,316.4,29109,92
9,0,49453,Trevor Cone,315.4,43526,138
10,0,35706,Niklas Norgaard,315.3,36580,116
11,0,52686,Rasmus Højgaard,314.9,41563,132
12,0,39546,Keith Mitchell,314.2,52779,168
12,0,38991,Alejandro Tosti,314.2,32367,103
14,0,52955,Ludvig Åberg,313.9,43325,138
15,0,37378,Min Woo Lee,313.8,41428,132
16,0,47420,Jake Knapp,313.4,48264,154
17,0,57366,Cameron Young,313.2,54494,174
18,0,31323,Gary Woodland,313.0,47582,152
19,0,54421,Garrick Higgo,312.9,30034,96
19,0,50474,Tim Widing,312.9,28787,92
21,0,66743,Luke Clanton,312.6,36265,116
21,0,56762,Will Gordon,312.6,38758,124
23,0,46601,Trey Mullinax,312.3,43719,140
24,0,48081,Xander Schauffele,311.9,39922,128
25,0,51766,Wyndham Clark,311.7,51124,164
26,0,59836,Pierceson Coody,311.5,32392,104
27,0,56781,Isaiah Salinda,311.3,45446,146
28,0,40250,Taylor Pendrith,311.2,51035,164
29,0,59440,Ricky Castillo,311.0,49762,160
29,0,57123,Steven Fisk,311.0,50390,162
31,0,48867,Matti Schmid,310.9,54724,176
32,0,47988,Nick Hardy,310.8,39156,126
32,0,35658,Kris Ventura,310.8,52210,168
34,0,27129,Luke List,309.8,45852,148
35,0,63121,William Mouw,309.5,45183,146
36,0,45242,Kevin Yu,309.4,57549,186
37,0,50484,Hayden Springer,309.2,44528,144
38,0,36699,Patrick Rodgers,309.1,60580,196
39,0,60882,Thomas Rosenmueller,309.0,47584,154
39,0,27064,Jhonattan Vegas,309.0,43880,142
41,0,29936,Ryan Fox,308.7,43213,140
42,0,51977,Max Greyserman,308.6,57396,186
43,0,54304,Karl Vilips,308.5,38249,124
44,0,49947,Taylor Moore,308.3,50553,164
44,0,46046,Scottie Scheffler,308.3,49322,160
44,0,27139,David Skinns,308.3,46242,150
47,0,46646,Antoine Rozner,308.1,46209,150
47,0,60019,Jackson Suber,308.1,46218,150
49,0,40006,Erik van Rooyen,307.9,41870,136
50,0,51696,Rico Hoey,307.7,61548,200
50,0,51894,Vince Whaley,307.7,61230,199
52,0,47504,Sam Burns,307.5,57805,188
53,0,54607,Danny Walker,307.4,42417,138
54,0,33597,Harry Higgs,307.2,50375,164
55,0,46442,Maverick McNealy,306.8,57677,188
56,0,33948,Byeong Hun An,306.6,56414,184
56,0,34046,Jordan Spieth,306.6,41703,136
58,0,33653,Thomas Detry,306.5,50267,164
59,0,33141,Keegan Bradley,306.4,49031,160
60,0,36799,Stephan Jaeger,306.3,54516,178
61,0,46340,Alex Smalley,306.2,52669,172
62,0,39324,J.J. Spaun,306.1,55710,182
63,0,35450,Patrick Cantlay,305.9,45266,148
64,0,58605,Quade Cummins,305.7,48906,160
65,0,54576,Patrick Fishburn,305.6,53182,174
65,0,39335,Kevin Roy,305.6,53172,174
67,0,55893,Sam Stevens,305.5,65995,216
68,0,32102,Rickie Fowler,305.3,47019,154
68,0,33448,Justin Thomas,305.3,48846,160
70,0,32070,Rafael Campos,305.2,48217,158
71,0,54591,Ben Griffin,305.1,63460,208
72,0,47995,Davis Riley,305.0,52468,172
73,0,29725,Tony Finau,304.9,43292,142
73,0,50582,Jeremy Paul,304.9,45129,148
73,0,24502,Adam Scott,304.9,40252,132
76,0,33968,Thorbjørn Olesen,304.7,47537,156
76,0,58168,Davis Thompson,304.7,54851,180
78,0,47347,Adam Schenk,304.6,46907,154
79,0,55708,Hayden Buckley,304.5,35327,116
79,0,39859,Cristobal Del Solar,304.5,40801,134
79,0,59143,Mac Meissner,304.5,51148,168
82,0,47679,Victor Perez,304.4,49916,164
83,0,34099,Harris English,304.3,53564,176
84,0,35461,Beau Hossler,303.9,57131,188
85,0,57975,Harry Hall,303.6,57074,188
85,0,64693,Matthew Riedel,303.6,39772,131
87,0,46717,Viktor Hovland,303.3,39431,130
88,0,59018,Ryan Gerard,303.2,59420,196
89,0,40026,Daniel Berger,302.9,47852,158
89,0,52375,Doug Ghim,302.9,52096,172
89,0,48887,Matt Wallace,302.9,47856,158
92,0,40098,Matt Fitzpatrick,302.7,44797,148
92,0,52215,Robert MacIntyre,302.7,50846,168
94,0,34587,Chan Kim,302.5,48998,162
95,0,60004,Jacob Bridgeman,302.2,56821,188
95,0,45157,Cam Davis,302.2,38678,128
95,0,52144,Braden Thornberry,302.2,36864,122
98,0,55789,Taylor Montgomery,302.0,39861,132
99,0,22405,Justin Rose,301.9,35020,116
100,0,49590,Frankie Capan III,301.5,41601,138
101,0,34021,Bud Cauley,301.4,44606,148
102,0,35506,Mackenzie Hughes,301.3,53030,176
102,0,34466,Peter Malnati,301.3,37960,126
102,0,51997,Andrew Novak,301.3,53627,178
102,0,51634,Sahith Theegala,301.3,45201,150
106,0,39977,Max Homa,300.8,43917,146
107,0,36801,Mark Hubbard,300.7,57737,192
108,0,51690,Taylor Dickson,300.4,40249,134
108,0,37275,Sam Ryder,300.4,52873,176
110,0,58933,Will Chandler,300.3,44743,149
110,0,28089,Jason Day,300.3,37234,124
110,0,57362,Austin Eckroat,300.3,51658,172
110,0,31646,Emiliano Grillo,300.3,55859,186
114,0,32839,Hideki Matsuyama,300.2,51637,172
115,0,55165,Noah Goodwin,300.1,42313,141
115,0,35310,Lanto Griffin,300.1,42620,142
117,0,60067,Joe Highsmith,299.9,49190,164
118,0,33399,Adam Hadwin,299.8,52164,174
119,0,54628,Lee Hodges,299.7,46746,156
119,0,39975,Michael Kim,299.7,57540,192
119,0,39327,Ben Silverman,299.7,43751,146
122,0,45523,Thriston Lawrence,299.5,31144,104
123,0,30911,Tommy Fleetwood,299.4,44318,148
123,0,28775,Nate Lashley,299.4,31735,106
125,0,59866,Nick Dunlap,299.3,44292,148
125,0,55182,Tom Kim,299.3,51488,172
125,0,40162,Justin Lower,299.3,47881,160
128,0,47983,Chad Ramey,299.2,49675,166
128,0,58619,Kevin Velo,299.2,38900,130
130,0,48153,Matthieu Pavon,299.1,49046,164
131,0,59141,Matt McCarty,298.9,50818,170
132,0,56630,Akshay Bhatia,298.7,51966,174
132,0,28252,Seamus Power,298.7,48994,164
134,0,32757,Patton Kizzire,298.5,39397,132
135,0,34076,Joel Dahmen,298.4,44762,150
136,0,50525,Collin Morikawa,298.3,45340,152
137,0,39997,Corey Conners,298.2,48306,162
137,0,51950,Max McGreevy,298.2,53681,180
137,0,55623,Kaito Onishi,298.2,35789,120
140,0,33204,Shane Lowry,298.1,41727,140
141,0,49960,Sepp Straka,297.9,45286,152
142,0,47591,Eric Cole,297.7,63718,214
142,0,30926,Chris Kirk,297.7,46445,156
144,0,51287,Ryo Hisatsune,297.5,54746,184
145,0,37455,Si Woo Kim,297.4,58885,198
146,0,57900,Chandler Phillips,297.2,46959,158
147,0,39971,Sungjae Im,296.9,57601,194
148,0,33413,Ben Martin,296.7,31449,106
149,0,35532,Tom Hoge,296.3,54527,184
150,0,47056,Rikuya Hoshino,296.0,30789,104
150,0,23320,Ryan Palmer,296.0,33152,112
152,0,52666,Sami Valimaki,295.9,50303,170
153,0,52370,Mason Andersen,295.8,38454,130
154,0,40115,Adam Svensson,295.7,46717,158
155,0,49771,J.T. Poston,295.6,54397,184
156,0,47993,Denny McCarthy,295.3,51981,176
157,0,36884,Ben Kohles,295.2,49598,168
157,0,30163,Henrik Norlander,295.2,50186,170
157,0,51890,Greyson Sigg,295.2,45462,154
157,0,25493,Nick Taylor,295.2,48415,164
161,0,52513,Carson Young,294.8,45993,156
162,0,51349,Nico Echavarria,294.7,52463,178
163,0,27644,Brian Harman,294.6,52440,178
164,0,36326,David Lipsky,293.6,48144,164
165,0,25900,Lucas Glover,292.3,43846,150
166,0,47917,Takumi Kanaya,292.1,47324,162
167,0,29535,Brice Garnett,291.2,39601,136
168,0,59160,John Pak,290.4,43558,150
169,0,45522,Christiaan Bezuidenhout,290.0,51615,178
169,0,27770,Camilo Villegas,290.0,41175,142
171,0,46414,Aaron Rai,289.6,41705,144
172,0,34098,Russell Henley,289.1,41631,144
173,0,40058,Zac Blair,287.1,35031,122
174,0,33199,Matteo Manassero,286.0,29749,104
175,0,24024,Zach Johnson,285.6,27993,98
176,0,27649,Brandt Snedeker,284.2,39790,140
177,0,23108,Matt Kuchar,282.2,38376,136
178,0,36824,Paul Peterson,281.7,36063,128
179,0,34256,Andrew Putnam,280.5,45997,164
180,0,46443,Brian Campbell,278.4,37857,136