RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,47917,Takumi Kanaya,74.07%,837,1130
2,0,46414,Aaron Rai,73.85%,740,1002
3,0,36824,Paul Peterson,73.15%,651,890
4,0,36884,Ben Kohles,73.12%,854,1168
5,0,34256,Andrew Putnam,71.77%,821,1144
6,0,34076,Joel Dahmen,71.21%,742,1042
7,0,50525,Collin Morikawa,70.65%,756,1070
8,0,29535,Brice Garnett,69.39%,662,954
9,0,24024,Zach Johnson,69.21%,472,682
10,0,27649,Brandt Snedeker,69.03%,671,972
11,0,51950,Max McGreevy,68.77%,861,1252
12,0,34098,Russell Henley,68.68%,695,1012
13,0,31646,Emiliano Grillo,68.47%,886,1294
14,0,25900,Lucas Glover,68.36%,715,1046
15,0,40058,Zac Blair,68.15%,582,854
16,0,39971,Sungjae Im,68.01%,925,1360
17,0,59160,John Pak,67.73%,703,1038
18,0,51696,Rico Hoey,67.69%,945,1396
19,0,52513,Carson Young,67.25%,733,1090
20,0,37455,Si Woo Kim,66.79%,927,1388
21,0,46443,Brian Campbell,66.77%,633,948
21,0,55165,Noah Goodwin,66.77%,657,984
23,0,39997,Corey Conners,66.64%,753,1130
24,0,25493,Nick Taylor,66.58%,763,1146
25,0,40026,Daniel Berger,66.42%,732,1102
26,0,49771,J.T. Poston,66.15%,852,1288
27,0,57362,Austin Eckroat,66.12%,800,1210
28,0,23108,Matt Kuchar,66.00%,627,950
29,0,40115,Adam Svensson,65.97%,723,1096
30,0,49960,Sepp Straka,65.66%,696,1060
31,0,55708,Hayden Buckley,65.63%,529,806
32,0,45522,Christiaan Bezuidenhout,65.46%,817,1248
33,0,51890,Greyson Sigg,65.42%,700,1070
34,0,39335,Kevin Roy,65.40%,794,1214
35,0,30911,Tommy Fleetwood,65.37%,672,1028
36,0,36326,David Lipsky,65.32%,746,1142
37,0,59141,Matt McCarty,65.06%,769,1182
38,0,54628,Lee Hodges,64.95%,708,1090
39,0,47679,Victor Perez,64.66%,732,1132
40,0,51349,Nico Echavarria,64.49%,801,1242
41,0,40162,Justin Lower,64.45%,718,1114
42,0,58619,Kevin Velo,64.30%,580,902
43,0,30163,Henrik Norlander,64.29%,756,1176
43,0,33968,Thorbjørn Olesen,64.29%,693,1078
45,0,52375,Doug Ghim,64.27%,770,1198
46,0,47983,Chad Ramey,64.24%,740,1152
47,0,39327,Ben Silverman,64.17%,652,1016
48,0,57364,Michael Thorbjornsen,64.16%,743,1158
49,0,58168,Davis Thompson,64.13%,808,1260
50,0,46340,Alex Smalley,63.96%,765,1196
51,0,28252,Seamus Power,63.84%,729,1142
52,0,32102,Rickie Fowler,63.69%,684,1074
53,0,59018,Ryan Gerard,63.38%,862,1360
54,0,27644,Brian Harman,63.32%,789,1246
55,0,45242,Kevin Yu,63.29%,819,1294
56,0,59836,Pierceson Coody,63.26%,458,724
57,0,27129,Luke List,63.23%,650,1028
58,0,46717,Viktor Hovland,63.13%,572,906
59,0,46046,Scottie Scheffler,63.04%,701,1112
60,0,33204,Shane Lowry,63.01%,615,976
61,0,45523,Thriston Lawrence,62.95%,452,718
62,0,48153,Matthieu Pavon,62.83%,720,1146
63,0,35658,Kris Ventura,62.69%,731,1166
64,0,60882,Thomas Rosenmueller,62.43%,668,1070
65,0,52666,Sami Valimaki,62.39%,735,1178
66,0,47056,Rikuya Hoshino,62.19%,449,722
67,0,36801,Mark Hubbard,62.15%,834,1342
68,0,56781,Isaiah Salinda,62.11%,631,1016
69,0,33399,Adam Hadwin,62.09%,755,1216
70,0,51287,Ryo Hisatsune,62.05%,793,1278
70,0,39324,J.J. Spaun,62.05%,788,1270
72,0,63121,William Mouw,61.89%,630,1018
73,0,33413,Ben Martin,61.85%,454,734
74,0,34099,Harris English,61.76%,756,1224
75,0,60067,Joe Highsmith,61.58%,702,1140
76,0,51690,Taylor Dickson,61.51%,572,930
77,0,52215,Robert MacIntyre,61.48%,723,1176
78,0,35310,Lanto Griffin,61.46%,606,986
79,0,33141,Keegan Bradley,61.39%,690,1124
80,0,57900,Chandler Phillips,61.33%,671,1094
81,0,40098,Matt Fitzpatrick,61.29%,635,1036
82,0,34021,Bud Cauley,61.24%,632,1032
83,0,30926,Chris Kirk,61.22%,671,1096
84,0,28089,Jason Day,61.06%,530,868
85,0,58933,Will Chandler,61.04%,636,1042
86,0,57123,Steven Fisk,60.94%,685,1124
86,0,34587,Chan Kim,60.94%,685,1124
88,0,37275,Sam Ryder,60.87%,745,1224
89,0,47993,Denny McCarthy,60.78%,750,1234
90,0,32757,Patton Kizzire,60.71%,561,924
91,0,59440,Ricky Castillo,60.63%,673,1110
92,0,60004,Jacob Bridgeman,60.60%,789,1302
93,0,35532,Tom Hoge,60.54%,781,1290
94,0,56630,Akshay Bhatia,60.51%,737,1218
95,0,39977,Max Homa,60.49%,623,1030
96,0,39546,Keith Mitchell,60.36%,705,1168
97,0,47504,Sam Burns,60.20%,791,1314
98,0,28775,Nate Lashley,60.11%,440,732
99,0,59143,Mac Meissner,60.09%,703,1170
100,0,33199,Matteo Manassero,60.06%,430,716
101,0,54591,Ben Griffin,60.03%,868,1446
102,0,55182,Tom Kim,60.00%,720,1200
103,0,36699,Patrick Rodgers,59.96%,819,1366
104,0,55623,Kaito Onishi,59.93%,501,836
105,0,23320,Ryan Palmer,59.87%,467,780
106,0,49453,Trevor Cone,59.81%,573,958
107,0,48887,Matt Wallace,59.73%,657,1100
108,0,64693,Matthew Riedel,59.72%,547,916
109,0,55893,Sam Stevens,59.65%,896,1502
110,0,52955,Ludvig Åberg,59.52%,575,966
111,0,40006,Erik van Rooyen,59.30%,561,946
112,0,33597,Harry Higgs,59.21%,675,1140
113,0,46442,Maverick McNealy,59.15%,776,1312
114,0,66743,Luke Clanton,59.08%,475,804
115,0,49947,Taylor Moore,59.00%,675,1144
115,0,31323,Gary Woodland,59.00%,623,1056
117,0,35450,Patrick Cantlay,58.94%,613,1040
118,0,39975,Michael Kim,58.93%,785,1332
119,0,40250,Taylor Pendrith,58.74%,672,1144
120,0,52370,Mason Andersen,58.69%,527,898
121,0,27139,David Skinns,58.64%,611,1042
122,0,22405,Justin Rose,58.54%,473,808
123,0,46646,Antoine Rozner,58.51%,605,1034
124,0,32839,Hideki Matsuyama,58.50%,709,1212
125,0,47988,Nick Hardy,58.33%,511,876
125,0,24502,Adam Scott,58.33%,539,924
127,0,54576,Patrick Fishburn,58.32%,708,1214
128,0,54421,Garrick Higgo,58.14%,393,676
129,0,56762,Will Gordon,58.12%,501,862
129,0,34046,Jordan Spieth,58.12%,551,948
131,0,57975,Harry Hall,58.05%,757,1304
132,0,50484,Hayden Springer,58.00%,580,1000
133,0,47591,Eric Cole,57.88%,867,1498
134,0,58605,Quade Cummins,57.82%,643,1112
135,0,48117,Kurt Kitayama,57.75%,596,1032
136,0,50582,Jeremy Paul,57.60%,591,1026
137,0,60019,Jackson Suber,57.29%,597,1042
138,0,51997,Andrew Novak,57.20%,707,1236
139,0,51634,Sahith Theegala,57.05%,599,1050
140,0,48867,Matti Schmid,57.03%,698,1224
141,0,29725,Tony Finau,56.94%,566,994
142,0,35506,Mackenzie Hughes,56.79%,694,1222
143,0,33653,Thomas Detry,56.75%,647,1140
144,0,57586,Jesper Svensson,56.67%,697,1230
145,0,54304,Karl Vilips,56.61%,488,862
146,0,47347,Adam Schenk,56.42%,606,1074
147,0,38991,Alejandro Tosti,56.15%,402,716
147,0,51894,Vince Whaley,56.15%,785,1398
149,0,54607,Danny Walker,55.94%,537,960
150,0,34255,Joseph Bramlett,55.92%,359,642
151,0,32070,Rafael Campos,55.91%,615,1100
152,0,51977,Max Greyserman,55.82%,729,1306
153,0,50474,Tim Widing,55.80%,356,638
154,0,59095,Chris Gotterup,55.75%,708,1270
155,0,52686,Rasmus Højgaard,55.68%,510,916
156,0,63343,Aldrich Potgieter,55.63%,425,764
157,0,47420,Jake Knapp,55.62%,594,1068
158,0,48081,Xander Schauffele,55.58%,498,896
159,0,37378,Min Woo Lee,55.52%,513,924
160,0,51766,Wyndham Clark,55.49%,637,1148
161,0,47995,Davis Riley,55.13%,661,1199
162,0,35461,Beau Hossler,54.88%,720,1312
163,0,36799,Stephan Jaeger,54.68%,677,1238
164,0,33948,Byeong Hun An,54.35%,700,1288
165,0,27064,Jhonattan Vegas,54.24%,537,990
166,0,45157,Cam Davis,53.90%,484,898
167,0,57366,Cameron Young,53.85%,657,1220
168,0,52144,Braden Thornberry,53.66%,454,846
169,0,33448,Justin Thomas,53.32%,595,1116
170,0,27770,Camilo Villegas,53.23%,528,992
171,0,52453,Nicolai Højgaard,53.19%,383,720
172,0,46601,Trey Mullinax,52.57%,512,974
173,0,29936,Ryan Fox,52.28%,505,966
174,0,39859,Cristobal Del Solar,51.72%,482,932
175,0,35706,Niklas Norgaard,51.62%,414,802
176,0,55789,Taylor Montgomery,51.42%,472,918
177,0,28237,Rory McIlroy,51.24%,412,804
178,0,59866,Nick Dunlap,51.06%,530,1038
179,0,34466,Peter Malnati,48.06%,422,878
180,0,49590,Frankie Capan III,45.82%,439,958